"","property_name","city_class","room_types","image_count","property_type","service_value","Accept_Rate","Response_time","amenities_cnt","description_cnt","rm_price","similar_hotel_cnt","Kids","Adults","room_type_cat","city_class_cat"
"519","Narendra Guest House","Metropolitan","Double Non AC",8,"4","0",100,6,2,129,623,15,"2","2",15,1
"520","Gangotri Hotel","Metropolitan","Double Non AC",0,"3","0",100,6,2,28,584,10,"2","2",15,1
"521","Hotel Anand Regency","Urban","Single Non AC",17,"3","0",100,6,2,98,2667,2,"2","1",18,4
"522","New Hotel Broadway","Metropolitan","Single Non AC",18,"3","0",100,6,2,129,1666,11,"2","1",18,1
"523","Welcome Hotel Raviz Kadavu Resort And Ayurveda Spa","Metropolitan","Double AC",29,"6","0",100,6,2,104,10017,2,"2","1",14,1
"524","Hotel Liwa Tower","Urban","Double Non AC",4,"3","0",100,6,5,105,1029,3,"2","2",15,4
"525","Ghar Aangan","Metropolitan","Double AC",10,"3","1",100,6,2,288,3334,2,"2","2",14,1
"526","Navaneetham Sea Side","Urban","Double Non AC",0,"3","0",100,6,2,119,945,2,"2","2",15,4
"527","Surya Hotel","Urban","Double Non AC",7,"3","0",100,6,5,132,1584,7,"2","2",15,4
"528","Hi Q Rest Inn","Metropolitan","Dormitary",0,"3","0",100,6,2,2,200,2,"2","1",13,1
"529","Casino Hotels Ltd","Urban","Single AC",4,"3","0",100,6,9,143,1950,4,"1","1",17,4
"530","JK International Hotel","Metropolitan","Single Non AC",9,"3","0",100,6,2,2,623,9,"1","1",18,1
"531","Dubai Hotel","Metropolitan","Double Non AC",2,"3","0",100,6,2,95,909,9,"2","2",15,1
"532","Hotel madhuvan Palace","Metropolitan","Single AC",6,"3","0",100,6,2,105,5472,3,"2","1",17,1
"533","Kunnathur Mana Heritage","Semi-urban","Double AC",24,"3","0",100,6,7,127,3334,2,"2","2",14,3
"534","Challa Residency","Urban","Double AC",9,"3","0",100,6,2,104,1452,2,"2","2",14,4
"535","Marari Sky Garden","Semi-urban","Double Non AC",59,"3","0",100,6,6,21,1267,4,"2","2",15,3
"536","Sri Sai Lakshmi Residency","Urban","Single Non AC",6,"3","0",100,6,2,2,350,3,"2","1",18,4
"537","Hotel Prakash Palace","Metropolitan","Single AC",11,"3","0",100,6,2,145,2774,10,"2","2",17,1
"538","Rama Residency","Urban","6 BHK",8,"3","0",100,6,2,104,36000,2,"2","18",11,4
"539","Youth Hostel","Rural","Dormitary",0,"3","0",100,6,2,2,150,2,"2","1",13,2
"540","Hotel Divya","Metropolitan","Double AC",14,"3","0",100,6,2,136,914,11,"1","2",14,1
"541","Urvashi Guest House","Metropolitan","Single Non AC",0,"4","1",100,6,5,111,350,14,"1","1",18,1
"542","Hotel Dwarika","Metropolitan","Double Non AC",28,"3","0",100,6,6,110,889,12,"2","2",15,1
"543","Palace on Steps","Metropolitan","Single Non AC",14,"3","0",100,6,2,145,1000,10,"2","2",18,1
"544","Hotel New Pakiza","Urban","Double Non AC",10,"3","0",100,6,2,103,1889,11,"2","2",15,4
"545","Hotel Pearl Marc","Urban","Double AC",5,"3","0",100,6,4,139,1250,2,"2","2",14,4
"546","Ishan Home stay","Metropolitan","Double Non AC",26,"3","1",100,6,4,84,584,2,"2","2",15,1
"547","Sandeep Lodge","Urban","Single Non AC",0,"5","0",100,6,4,2,500,2,"1","1",18,4
"548","Garden Lodge","Metropolitan","Single Non AC",18,"5","0",100,6,5,96,623,11,"1","1",18,1
"549","Leela Guest House","Metropolitan","Double Non AC",14,"4","0",100,6,2,139,667,16,"2","2",15,1
"550","Kovilakom Residency","Metropolitan","Single Non AC",4,"3","0",100,6,6,185,2083,2,"2","1",18,1
"551","Shubh Laxmi Guest House","Metropolitan","One Day Use",14,"4","0",100,6,2,128,473,2,"2","2",16,1
"552","East Avenue Suites","Metropolitan","Single Non AC",4,"3","0",100,15,2,99,1270,3,"1","1",18,1
"553","Hotel Akash","Urban","Double AC",0,"3","0",100,6,4,2,1500,4,"2","2",14,4
"554","Mangla Guest House","Metropolitan","Double Non AC",10,"4","0",100,6,2,125,534,13,"2","2",15,1
"555","Rahul Guest House","Metropolitan","Double Non AC",0,"4","0",100,6,4,112,712,14,"2","2",15,1
"556","Koolwal Kothi","Urban","Double Non AC",4,"3","0",100,6,5,174,8043,3,"2","2",15,4
"557","Hotel Everest Park Residency","Urban","Single AC",16,"3","0",100,6,2,84,1575,12,"1","1",17,4
"558","Hotel Sri Hayagriva","Urban","Double AC",10,"3","0",75,7,2,131,1854,12,"2","2",14,4
"559","Hotel Ratna Palace","Urban","Double Non AC",15,"3","0",100,6,2,113,724,2,"2","2",15,4
"560","Kumar Guest House","Metropolitan","Double Non AC",0,"4","0",100,6,2,2,423,2,"2","2",15,1
"561","Sri Yoga Mandir Guest House","Metropolitan","Double Non AC",13,"4","0",100,6,2,137,712,14,"2","2",15,1
"562","Wariyam Heritage","Urban","Single Non AC",16,"3","0",67,20,2,159,1482,7,"1","1",18,4
"563","Park Residency","Metropolitan","Single AC",6,"3","0",100,24,2,125,1850,2,"2","1",17,1
"564","Hotel Buddha Inn","Metropolitan","Single AC",6,"3","0",100,6,2,112,2568,2,"2","1",17,1
"565","Malabar Palace","Metropolitan","Single Non AC",8,"3","0",100,6,2,104,3000,7,"2","1",18,1
"566","Hamara Hotel","Urban","Double AC",5,"3","0",100,6,7,144,2020,8,"2","2",14,4
"567","The North Park","Metropolitan","Double Non AC",4,"3","0",100,6,2,102,1856,2,"2","2",15,1
"568","Sabah Homestay","Metropolitan","Single Non AC",1,"2","1",100,6,4,138,473,2,"1","2",18,1
"569","Mayura Lodge and Residency","Urban","Double Non AC",5,"5","0",100,6,3,29,867,8,"2","2",15,4
"570","Hotel Shekhawati","Semi-urban","Double AC",10,"3","0",100,6,7,108,1067,3,"2","2",14,3
"571","Hotel Mangala Towers","Urban","Single Non AC",8,"3","0",100,6,9,142,2313,5,"2","1",18,4
"572","Hotel Bundelkhand","Urban","Double Non AC",0,"3","0",100,6,3,2,550,2,"2","2",15,4
"573","Hotel 9th Planet","Urban","Double AC",6,"3","0",100,6,6,128,1775,11,"2","2",14,4
"574","Roop Niwas Kothi","Urban","Single Non AC",7,"3","0",100,6,6,149,3112,4,"2","1",18,4
"575","Mayura Inn","Urban","Single AC",4,"3","0",100,6,4,2,1285,2,"2","1",17,4
"576","Home Away From Home With Breakfast","Metropolitan","Double Non AC",5,"3","1",100,6,4,12,1889,8,"1","2",15,1
"577","Atithi Ashray","Metropolitan","Single Non AC",10,"3","1",100,6,3,136,1042,10,"2","1",18,1
"578","Hotel Pratap Palace","Metropolitan","Single AC",0,"3","0",100,6,5,123,2037,11,"1","1",17,1
"579","Aswini Residency","Urban","Single AC",0,"3","0",100,6,4,159,1994,2,"1","1",17,4
"580","Diamond Lounge Homestay","Metropolitan","Double Non AC",16,"2","0",100,6,8,7,1512,6,"1","2",15,1
"581","Aashray Homestay","Metropolitan","Double AC",7,"2","1",100,6,5,2,3306,2,"2","2",14,1
"582","Hotel Shreeji","Metropolitan","Single Non AC",0,"3","0",100,6,6,2,389,2,"1","1",18,1
"583","Hotel PatliPutra Nirvana","Metropolitan","Single Non AC",20,"3","0",100,6,2,121,1899,12,"2","1",18,1
"584","Pooram International Hotel","Urban","Single AC",9,"3","0",100,6,3,137,2365,3,"2","1",17,4
"585","Homely Homestay","Metropolitan","Double AC",19,"2","0",100,6,4,9,1889,12,"1","2",14,1
"586","Kappad Beach Resort","Metropolitan","Double AC",6,"6","0",100,6,2,122,2778,2,"2","2",14,1
"587","Hotel The Panache","Metropolitan","Double AC",13,"3","0",100,6,2,145,6934,2,"2","2",14,1
"588","Hotel Sangam Residency","Urban","Double Non AC",15,"3","0",100,6,2,94,800,7,"2","2",15,4
"589","Fathima Luxury House Boat","Urban","Single AC",0,"4","0",100,6,2,2,9445,8,"2","0",17,4
"590","Hotel Devi Sridevi","Urban","Double Non AC",13,"3","0",100,20,2,84,600,3,"2","2",15,4
"591","Park Inn Resort","Metropolitan","Single AC",39,"6","0",100,6,2,87,2078,2,"2","1",17,1
"592","Hotel Nirmala","Urban","Single Non AC",6,"3","0",0,0,2,125,1560,3,"1","1",18,4
"593","Hotel Shri Prakash Inn","Urban","Double AC",0,"3","0",100,6,7,2,1500,2,"2","2",14,4
"594","Haveli Sadavarte Apartment","Urban","1 BHK",0,"1","0",100,6,2,2,1000,2,"2","2",1,4
"595","Om Sai Guest House","Metropolitan","Dormitary",0,"4","0",100,6,2,126,288,13,"2","1",13,1
"596","Natraj Inn Paying Guest House","Metropolitan","Double Non AC",3,"4","0",100,6,2,2,578,10,"2","2",15,1
"597","Hotel Divya Palace","Urban","Single Non AC",3,"3","0",100,6,5,2,445,2,"1","1",18,4
"598","Sri Lakshmi Narasimha Deluxe Lodge","Urban","Double Non AC",4,"5","0",100,6,2,2,889,5,"2","2",15,4
"599","Indra Paying Guest House","Metropolitan","Single Non AC",45,"4","1",100,6,6,3,473,16,"0","1",18,1
"600","Dudhwa TigeRhino Resort","Metropolitan","Double AC",6,"6","0",100,6,2,2,2070,2,"2","2",14,1
"601","Classic Grande","Urban","Single Non AC",0,"3","0",100,6,2,82,3000,2,"2","1",18,4
"602","Cherisha Lodge","Metropolitan","Single Non AC",0,"5","0",100,6,2,2,334,2,"1","1",18,1
"603","Safari Guest House","Metropolitan","Single Non AC",2,"4","0",100,6,2,2,334,8,"1","1",18,1
"604","D S Bungalow Guest House","Urban","Double Non AC",0,"4","0",100,6,4,2,567,2,"2","2",15,4
"605","Vasco Da Gama Beach Resort","Metropolitan","Double AC",5,"6","0",100,6,2,133,3889,2,"2","2",14,1
"606","Ganesha Palace","Metropolitan","Double Non AC",11,"3","0",100,6,2,29,1734,11,"2","2",15,1
"607","Tiwari Guest House","Metropolitan","Double AC",4,"4","0",100,6,5,5,889,12,"0","2",14,1
"608","Plaza Hotels","Urban","Single AC",17,"3","0",100,6,2,144,1794,12,"2","1",17,4
"609","Diamond Hotel","Metropolitan","Single AC",15,"3","0",100,6,2,143,3124,10,"2","1",17,1
"610","Hotel Soorya Galaxy","Metropolitan","Single AC",5,"3","0",100,6,2,86,1472,5,"1","1",17,1
"611","Shanti Rest House","Metropolitan","Double Non AC",32,"4","1",100,6,4,3,662,17,"1","2",15,1
"612","Hotel OK International","Metropolitan","Single AC",36,"3","0",100,6,4,90,1875,12,"1","1",17,1
"613","Royal Crystal","Semi-urban","Double AC",0,"3","1",100,6,2,2,2667,2,"2","2",14,3
"614","Nila Residency","Metropolitan","Double Non AC",1,"3","0",100,6,7,135,740,4,"2","2",15,1
"615","Hotel Embassy","Urban","Single AC",0,"3","0",100,6,6,137,1793,2,"2","1",17,4
"616","Vermas Homestay","Metropolitan","Double Non AC",39,"2","1",100,6,5,7,1417,9,"1","2",15,1
"617","Hotel Pratham","Metropolitan","Double Non AC",0,"3","0",100,6,4,2,567,2,"2","2",15,1
"618","Hotel PLA Residency","Urban","Single AC",34,"3","0",100,1,2,123,1687,12,"1","1",17,4
"619","Hotel Fort","Metropolitan","Single Non AC",54,"3","0",100,6,2,98,1087,12,"2","1",18,1
"620","Sai Priyankas Comfort Inn","Urban","Double AC",0,"3","0",100,6,7,89,1267,5,"2","2",14,4
"621","Hotel Kontinental","Metropolitan","Double Non AC",0,"3","0",100,6,4,114,772,2,"2","2",15,1
"622","Savera Premier Hotel","Metropolitan","Single Non AC",12,"3","0",100,6,2,52,3399,2,"2","1",18,1
"623","Naga Mayuri Grand A/C","Urban","Single Non AC",0,"3","0",100,6,3,2,845,2,"1","1",18,4
"624","DE Grand Heritage","Metropolitan","Single Non AC",0,"3","0",100,6,5,136,1539,5,"1","1",18,1
"625","Hotel Crown","Urban","Double Non AC",9,"3","0",100,6,4,100,1540,6,"2","2",15,4
"626","Hotel Sapphire","Semi-urban","Double Non AC",11,"3","0",100,6,10,120,3828,2,"2","0",15,3
"627","Hotel Sarna","Metropolitan","Double AC",0,"3","0",100,6,5,2,1250,2,"2","2",14,1
"628","Hotel Nila Residency","Urban","Double AC",9,"3","0",100,6,4,100,2267,8,"2","2",14,4
"629","Sun View Paying Guest House","Metropolitan","Single Non AC",0,"4","0",100,6,2,2,267,2,"1","1",18,1
"630","Shree Sai Kripa Guest House","Metropolitan","Double Non AC",16,"4","0",100,6,2,132,534,13,"2","2",15,1
"631","Mohit Paying Guest House","Metropolitan","Single Non AC",1,"4","0",100,6,4,95,389,13,"1","1",18,1
"632","Hotel Yaiphaba","Urban","Single Non AC",0,"3","0",100,6,2,156,2106,3,"2","1",18,4
"633","Varanasi Home Stay","Metropolitan","Double AC",6,"3","1",100,6,2,63,1667,5,"2","2",14,1
"634","Hotel BK","Urban","Double Non AC",0,"3","0",100,6,5,84,600,7,"2","2",15,4
"635","Hotel Sahi Palace","Urban","Double AC",13,"3","0",100,6,9,110,2312,6,"2","2",14,4
"636","Hotel Durga","Urban","Single Non AC",0,"3","0",100,6,4,100,300,2,"1","1",18,4
"637","Hotel Amrutha","Metropolitan","Single Non AC",6,"3","0",25,1,2,307,1180,9,"1","1",18,1
"638","Hotel Roopam Dudhwa","Metropolitan","Double Non AC",0,"3","0",100,6,4,2,693,2,"2","2",15,1
