"","property_name","city_class","room_types","image_count","property_type","service_value","Accept_Rate","Response_time","amenities_cnt","description_cnt","rm_price","similar_hotel_cnt","Kids","Adults","room_type_cat","city_class_cat"
"920","Central Royal Hotel","Urban","Double AC",9,"3","0",100,6,2,101,1800,4,"2","2",14,4
"921","G N R Residency","Urban","Double Non AC",9,"3","0",100,6,2,2,567,2,"2","2",15,4
"922","The Grove Resort","Metropolitan","Double Non AC",0,"6","0",100,6,2,129,8000,12,"2","2",15,1
"923","Central Hotel","Urban","Single AC",13,"3","0",100,6,4,91,2122,8,"1","1",17,4
"924","Hotel Nirmal Palace","Urban","Double Non AC",0,"3","0",100,6,6,2,615,3,"2","2",15,4
"925","Hotel Harisons","Metropolitan","Single AC",33,"3","0",100,6,2,113,2718,9,"1","1",17,1
"926","Anamika Hotel","Urban","Double Non AC",5,"3","0",100,6,5,138,1360,10,"2","2",15,4
"927","Kanha Paying Guest House","Metropolitan","Single Non AC",32,"4","1",100,6,5,138,667,2,"0","1",18,1
"928","Hotel Sai International","Urban","Double Non AC",3,"3","0",100,6,3,2,1000,5,"2","2",15,4
"929","Sri Maruti Pilgrims House","Urban","Double Non AC",14,"4","0",100,6,2,55,634,2,"2","2",15,4
"930","P.L.A Rathna Residency","Urban","Single AC",25,"3","0",100,1,2,136,2313,11,"1","1",17,4
"931","Prabhu Sundaram Guest House","Metropolitan","Double Non AC",16,"4","0",100,6,2,123,700,17,"2","2",15,1
"932","Hotel Relax","Urban","Single Non AC",0,"3","0",100,6,2,2,334,2,"1","1",18,4
"933","Baba Guest House","Metropolitan","Double Non AC",14,"4","0",100,6,2,63,783,13,"2","2",15,1
"934","Adarsh Hotel","Semi-urban","Double AC",51,"3","0",100,6,12,115,4609,2,"2","2",14,3
"935","Hotel Mandawa Haveli","Semi-urban","Single Non AC",8,"3","0",100,6,3,110,1876,3,"2","1",18,3
"936","Hotel Sarna","Metropolitan","Double Non AC",0,"3","0",0,0,6,2,667,2,"2","2",15,1
"937","OM Home Guest House","Metropolitan","Single Non AC",10,"4","0",100,6,2,47,267,8,"1","1",18,1
"938","Hotel Rockfort View","Urban","Single Non AC",23,"3","0",100,6,2,115,2367,9,"2","1",18,4
"939","Bommana Residency","Urban","Double Non AC",5,"3","0",100,6,3,104,804,8,"2","2",15,4
"940","Garden Court Club","Metropolitan","Single AC",45,"3","0",100,6,2,103,1407,12,"2","1",17,1
"941","Hotel Leela Pavilion","Urban","Single AC",4,"3","0",0,0,2,32,2189,2,"2","1",17,4
"942","Sky Star Residency","Urban","Single Non AC",8,"3","0",100,9,2,90,520,2,"1","1",18,4
"943","Jai Niwas Resort","Semi-urban","Double AC",11,"6","0",100,6,4,103,1112,2,"2","2",14,3
"944","Chanda Guest House Varanasi","Metropolitan","One Day Use",4,"4","0",100,6,2,2,300,2,"2","1",16,1
"945","Hotel Haifa","Metropolitan","Double AC",12,"3","0",100,6,2,124,1645,10,"2","2",14,1
"946","Hotel Santoor","Metropolitan","Double Non AC",9,"3","0",100,6,2,124,940,12,"2","2",15,1
"947","Ragavendra Residency","Urban","Double Non AC",0,"3","0",100,6,2,176,2334,10,"2","2",15,4
"948","Hotel Divine Destination","Metropolitan","Double Non AC",12,"3","0",100,6,2,116,3124,11,"2","2",15,1
"949","Hotel Relax","Urban","Single Non AC",0,"3","0",100,6,2,2,389,2,"1","1",18,4
"950","Butterfly Cruise","Urban","One Day Use",7,"3","0",100,6,2,91,6112,2,"2","2",16,4
"951","Hotel PLA Krishna Inn","Urban","Single Non AC",26,"3","0",100,9,2,75,2348,7,"2","1",18,4
"952","Prabha Villa Paying Guest House","Metropolitan","Double Non AC",17,"8","1",100,6,8,4,756,13,"1","2",15,1
"953","Fort Rajamahal Hotel","Urban","Double AC",0,"3","0",100,6,9,2,1778,10,"2","2",14,4
"954","Metro Tourist Home","Metropolitan","Single Non AC",8,"3","0",100,6,2,2,1234,5,"2","1",18,1
"955","Hotel Gajapriya","Urban","Single Non AC",10,"3","0",100,1,2,84,978,2,"1","1",18,4
"956","Hotel The Royal Grove","Metropolitan","Double AC",0,"3","0",100,6,2,110,6667,9,"2","2",14,1
"957","Hotel Shiv Ganga","Metropolitan","Single Non AC",44,"3","0",100,6,7,119,845,11,"1","1",18,1
"958","Greenland Delsol Resort","Semi-urban","Double AC",17,"6","0",100,6,4,108,2735,8,"2","2",14,3
"959","Hotel sara vilas","Semi-urban","Single AC",2,"3","0",100,6,11,123,4965,2,"2","1",17,3
"960","UKS Resort","Metropolitan","Double AC",6,"6","0",67,1,2,130,2470,9,"2","2",14,1
"961","shree lodge","Metropolitan","Double Non AC",8,"5","0",100,6,2,15,578,15,"0","2",15,1
"962","Hotel Kaveri","Urban","Double AC",0,"3","0",100,6,2,2,1162,4,"2","2",14,4
"963","Hotel Nandini","Metropolitan","Double Non AC",4,"3","0",100,6,2,53,662,13,"2","2",15,1
"964","Hotel Ganges View","Metropolitan","Double AC",6,"3","0",100,6,2,112,4500,12,"2","2",14,1
"965","Rudra Resort","Urban","Cottage",7,"6","0",100,6,2,108,3330,2,"2","1",12,4
"966","Holy Ganges view","Metropolitan","Double Non AC",50,"3","0",100,6,5,110,889,10,"2","2",15,1
"967","Orange Inn","Metropolitan","Single AC",8,"3","0",100,6,2,136,2767,8,"2","1",17,1
"968","Diana Homestay","Urban","Double Non AC",0,"2","0",100,6,6,70,1900,12,"2","2",15,4
"969","Hotel Shelton","Urban","Single AC",10,"3","0",100,6,7,134,3466,2,"2","1",17,4
"970","National Tourist Home","Urban","Single Non AC",2,"3","0",50,1,3,139,662,4,"1","1",18,4
"971","Hotel Golden Orchid","Metropolitan","Single Non AC",22,"3","0",100,6,2,124,4548,11,"2","1",18,1
"972","Babian Inn","Metropolitan","Single AC",0,"3","0",100,6,4,105,2280,13,"1","1",17,1
"973","Devesh Homestay","Metropolitan","Double AC",3,"2","1",100,6,2,2,2362,2,"2","2",14,1
"974","Hotel P.S.International","Metropolitan","Single Non AC",0,"3","0",100,6,2,117,1760,11,"2","1",18,1
"975","Ranjees Hotel","Metropolitan","Single Non AC",20,"3","0",100,6,4,2,5433,12,"2","1",18,1
"976","New International Inn","Metropolitan","Single AC",2,"3","0",100,6,2,124,2385,11,"2","1",17,1
"977","The Royal Palace","Metropolitan","Double Non AC",22,"3","0",100,6,2,2,1417,11,"2","2",15,1
"978","Hotel Shimla Inn","Metropolitan","Single Non AC",33,"3","0",100,6,3,127,445,12,"2","1",18,1
"979","Hotel Meadows Inn","Metropolitan","Single AC",3,"3","0",100,6,5,115,2685,14,"2","1",17,1
"980","Hotel Mantra Amaltas","Metropolitan","Double AC",15,"3","0",100,6,9,104,5829,12,"2","2",14,1
"981","Hotel Relax Inn","Metropolitan","Single AC",24,"3","0",100,6,3,42,1167,14,"2","1",17,1
"982","Hotel Vishwanath","Metropolitan","One Day Use",61,"3","0",100,6,5,98,1008,11,"2","1",16,1
"983","Awadh Court Guest House","Metropolitan","Double AC",10,"4","0",100,6,5,95,1712,13,"2","2",14,1
"984","Lotus Residency","Metropolitan","Single AC",3,"3","0",100,6,2,2,2134,12,"1","1",17,1
"985","Hotel New RamKrishna","Metropolitan","Double Non AC",1,"3","0",100,6,4,2,789,11,"2","2",15,1
"986","Hotel Moon Palace","Metropolitan","Double Non AC",43,"3","0",100,6,3,101,712,13,"2","2",15,1
"987","Uma Guest House","Metropolitan","Double Non AC",32,"4","0",100,10,2,150,489,12,"2","2",15,1
"988","Hotel Myriad","Metropolitan","Double AC",14,"3","0",100,6,2,119,4165,8,"2","2",14,1
"989","Hotel Shelter","Metropolitan","Double AC",16,"3","0",100,6,4,115,2290,11,"2","2",14,1
"990","Hotel Gaylord India","Metropolitan","Single AC",0,"3","0",100,6,2,112,2187,12,"2","1",17,1
"991","Hotel Monarch Inn","Metropolitan","Single AC",2,"3","0",100,6,2,112,1713,12,"2","1",17,1
"992","Hotel Pal Avadh","Metropolitan","Single AC",10,"3","0",100,6,9,143,833,10,"1","1",17,1
"993","Corals Inn","Metropolitan","Single AC",26,"3","0",0,0,2,87,2083,13,"1","1",17,1
"994","Hotel RamKrishna Gold","Metropolitan","Double Non AC",5,"3","0",100,6,4,63,667,9,"2","2",15,1
"995","Hotel Samrat","Metropolitan","Double AC",8,"3","0",100,6,2,87,1500,12,"2","2",14,1
"996","Hotel Cosmos","Metropolitan","Single AC",13,"3","0",100,6,2,2,2915,10,"2","1",17,1
"997","The Visaya","Metropolitan","Single Non AC",17,"3","0",100,6,9,76,4445,15,"2","1",18,1
"998","Hotel Modman Inn","Metropolitan","Single AC",18,"3","0",100,6,2,75,2456,8,"2","1",17,1
"999","Hotel Deep Avadh","Metropolitan","Single AC",82,"3","0",100,6,2,73,1225,10,"2","1",17,1
"1000","Triloki","Metropolitan","Double Non AC",37,"3","0",100,6,2,2,578,10,"2","2",15,1
"1001","Hotel Amar Prem","Metropolitan","Single Non AC",9,"3","0",100,6,2,132,789,11,"1","1",18,1
"1002","Heritage Hotel","Metropolitan","Double Non AC",81,"3","0",100,6,2,133,2626,5,"2","2",15,1
"1003","Welcome guest house","Metropolitan","Double Non AC",1,"4","0",100,6,2,38,1700,10,"0","2",15,1
"1004","Vrindavan Guest House","Metropolitan","Double AC",10,"4","0",100,6,2,146,1334,11,"2","2",14,1
"1005","Hotel The Grand","Metropolitan","Single AC",12,"3","0",100,6,5,102,1168,12,"2","1",17,1
"1006","Hotel Triveni","Metropolitan","Double Non AC",14,"3","0",100,6,3,145,556,9,"2","2",15,1
"1007","Hotel Sapna","Metropolitan","Double Non AC",32,"3","0",100,6,2,2,800,16,"2","2",15,1
"1008","Fateh Vilas","Semi-urban","Double AC",0,"3","0",100,6,2,2,2667,2,"2","2",14,3
"1009","Best Paying Guest House","Metropolitan","Double Non AC",5,"4","1",100,6,2,2,445,2,"2","2",15,1
"1010","Shanta VS Continental","Metropolitan","Double AC",6,"3","0",100,6,3,2,1200,12,"2","2",14,1
"1011","Hotel Rangoli","Metropolitan","Single AC",10,"3","0",100,6,2,117,1500,11,"1","1",17,1
"1012","Hotel The Grand Radiant","Metropolitan","Single AC",43,"3","0",100,6,2,114,5190,11,"2","1",17,1
"1013","UNA Homestay UNA House","Metropolitan","Single AC",6,"2","1",100,6,3,104,2078,4,"2","1",17,1
"1014","Hotel Lucky Inn","Metropolitan","Double Non AC",26,"3","0",100,6,2,2,800,13,"2","2",15,1
"1015","J C Hotel","Metropolitan","Double AC",29,"3","0",100,6,2,143,1417,2,"2","2",14,1
"1016","Hotel Golden Sky","Metropolitan","Single AC",16,"3","0",100,6,6,139,1724,10,"2","1",17,1
"1017","Anand Luxury Villa","Metropolitan","Single AC",95,"8","1",100,6,2,126,1700,2,"1","1",17,1
"1018","Hotel Executive","Metropolitan","Single AC",12,"3","0",100,6,4,146,2030,12,"2","1",17,1
"1019","Hotel Syona Residency","Metropolitan","Single AC",10,"3","0",50,1,2,105,2057,12,"2","1",17,1
"1020","Maa Durga Hotel & Amp; Resturant","Metropolitan","Double Non AC",15,"3","0",100,6,2,2,850,12,"2","2",15,1
"1021","Hotel Magnate","Metropolitan","One Day Use",16,"3","0",100,6,5,95,1187,12,"2","2",16,1
"1022","Sitaram Guest House","Metropolitan","Single Non AC",5,"4","0",100,6,2,124,445,12,"2","1",18,1
"1023","B. P Guest House","Metropolitan","Double AC",8,"4","0",100,6,2,2,2223,7,"2","2",14,1
"1024","Hotel Just 9 Inn","Metropolitan","Double AC",27,"3","0",100,6,3,115,1245,11,"2","2",14,1
"1025","De Park Inn","Metropolitan","Single Non AC",10,"3","0",100,6,6,169,1500,12,"2","1",18,1
"1026","Hotel G Rest","Metropolitan","Double AC",44,"3","0",100,6,2,122,1488,5,"2","2",14,1
"1027","Hotel Shiva","Metropolitan","Single AC",34,"3","0",100,6,4,108,1244,12,"2","1",17,1
"1028","Hotel Raj Palace","Metropolitan","Single AC",14,"3","0",100,6,2,132,1064,14,"2","1",17,1
"1029","Krishna Guest Inn","Metropolitan","Double AC",39,"3","0",100,6,2,31,2084,10,"2","2",14,1
"1030","RnB Lucknow","Metropolitan","Single Non AC",7,"3","0",100,6,2,97,2592,10,"2","1",18,1
"1031","Gangaur Hotel","Urban","Double Non AC",0,"3","0",100,6,2,109,1000,2,"2","2",15,4
"1032","Resort Chalet","Urban","Cottage",2,"6","0",100,6,2,114,8800,2,"2","4",12,4
"1033","Hotel Safari","Metropolitan","Single Non AC",28,"3","0",100,6,2,106,550,9,"2","1",18,1
"1034","Shivam Inn","Metropolitan","Single Non AC",10,"3","0",100,6,3,156,2907,13,"2","1",18,1
"1035","Surya Continental Hotel","Metropolitan","Double AC",58,"3","0",100,6,2,2,2778,12,"2","2",14,1
"1036","Hotel Shanta Inn","Metropolitan","Single AC",10,"3","0",100,6,2,76,2388,12,"2","2",17,1
"1037","Nattha Lodge","Metropolitan","Double Non AC",18,"5","0",100,6,2,2,667,7,"2","2",15,1
"1038","Daisy Home","Urban","Single AC",3,"3","0",100,6,2,144,1500,12,"2","1",17,4
"1039","Hotel Tekarees Inn","Metropolitan","Single AC",9,"3","0",100,6,2,148,2187,12,"2","1",17,1
"1040","Hotel Silver Ferns","Metropolitan","Single AC",14,"3","0",100,6,4,109,5293,11,"2","1",17,1
"1041","Hotel IP Palace","Metropolitan","Single AC",29,"3","0",100,6,2,114,1666,11,"2","1",17,1
"1042","Crown Inn Guest House","Metropolitan","Double AC",26,"4","0",100,6,5,105,1965,12,"2","2",14,1
"1043","Hotel Amanda","Metropolitan","Single AC",14,"3","0",50,1,2,110,3159,10,"2","1",17,1
"1044","Hotel Royal Regency","Metropolitan","Double AC",31,"3","0",100,6,6,119,1535,7,"2","2",14,1
"1045","Hotel Uday Raj Palace","Metropolitan","Single AC",6,"3","0",100,6,2,144,1056,11,"2","2",17,1
"1046","Travellers Inn","Metropolitan","Double AC",29,"3","0",100,6,2,2,1662,12,"2","2",14,1
"1047","Hotel Naznin Palace","Metropolitan","Double Non AC",25,"3","0",100,6,2,71,1153,13,"2","2",15,1
"1048","Mosaic Hotels","Urban","One Day Use",12,"3","0",100,6,2,145,5413,10,"2","1",16,4
"1049","Lakshmi Guest House","Metropolitan","Double Non AC",0,"4","0",100,6,2,130,1320,11,"2","2",15,1
"1050","Hotel Mangalam Palace-Airport","Metropolitan","Double Non AC",0,"3","0",100,6,2,48,1067,10,"2","3",15,1
"1051","Hotel Global Inn","Metropolitan","Single AC",14,"3","0",100,6,5,115,1706,10,"1","1",17,1
"1052","Hotel Rest Inn","Metropolitan","Single AC",10,"3","0",100,6,2,102,930,10,"2","1",17,1
"1053","Trinca Residency","Metropolitan","Double AC",19,"3","0",100,6,2,144,2395,10,"2","2",14,1
"1054","Hotel Didi International","Metropolitan","Single AC",51,"3","0",100,6,2,92,2083,13,"2","1",17,1
"1055","Lucknow Guest Inn","Metropolitan","Single AC",83,"3","0",100,6,3,2,1778,16,"2","1",17,1
"1056","Ayaan Residency","Metropolitan","Double AC",5,"3","0",100,6,6,87,1200,11,"2","2",14,1
"1057","Garden View Inn Lucknow","Metropolitan","Single Non AC",3,"3","1",100,6,2,290,1970,4,"2","1",18,1
"1058","Hotel ANR","Metropolitan","Single Non AC",11,"3","0",100,6,2,151,1780,11,"2","1",18,1
"1059","ITT INN","Metropolitan","Double Non AC",1,"3","0",100,6,4,2,1700,12,"0","2",15,1
"1060","Hotel Harsh Palace","Metropolitan","Double Non AC",9,"3","0",100,6,2,107,922,9,"2","2",15,1
"1061","Hotel Yash","Metropolitan","Double Non AC",33,"3","0",100,6,2,100,1689,12,"2","2",15,1
"1062","Hotel Royal Inn","Metropolitan","Single AC",11,"3","0",100,6,5,136,3114,12,"2","1",17,1
"1063","Noida Guest House","Urban","Double Non AC",1,"4","0",100,6,2,76,1436,9,"2","2",15,4
"1064","Athithi Inn","Metropolitan","Double Non AC",44,"3","0",100,6,2,91,2707,11,"2","2",15,1
"1065","Hotel Surya Shelter","Metropolitan","Double AC",49,"3","0",100,6,2,2,1650,10,"2","2",14,1
"1066","Presidency Inn","Metropolitan","Single AC",53,"3","0",100,6,2,88,2387,13,"1","1",17,1
"1067","Gehloths Guest House","Metropolitan","Double Non AC",1,"4","0",100,6,2,2,778,2,"2","2",15,1
"1068","Wood Stock Guest Villa","Metropolitan","Single AC",1,"8","0",100,6,2,113,1134,12,"2","2",17,1
"1069","Hotel Raj International","Metropolitan","Double AC",2,"3","0",100,6,2,100,1500,9,"2","2",14,1
"1070","Bhatia Guest House","Metropolitan","Single AC",33,"4","0",100,6,2,132,1800,15,"2","1",17,1
"1071","Hotel Charans International","Metropolitan","Single AC",12,"3","0",100,6,2,108,1959,11,"2","1",17,1
"1072","Tavisha Hotel","Metropolitan","Double AC",9,"3","0",100,6,6,115,4818,12,"2","2",14,1
"1073","Oakwood Inn Bed And Breakfast","Metropolitan","Double AC",1,"3","0",100,6,2,86,1889,13,"2","2",14,1
"1074","Geeta Guest House","Metropolitan","4 Bedded AC",3,"4","1",100,6,2,106,3423,2,"2","4",6,1
"1075","Hotel Sunrise Inn","Metropolitan","Single AC",10,"3","0",100,6,5,137,2930,12,"2","1",17,1
"1076","Hotel Radhey Inn","Metropolitan","Double Non AC",10,"3","0",100,6,2,2,712,11,"2","2",15,1
"1077","Cameo Homes","Metropolitan","Double Non AC",1,"3","1",100,6,8,7,3778,12,"0","2",15,1
"1078","Hotel Elora","Metropolitan","Double AC",20,"3","0",100,6,5,111,1387,11,"2","2",14,1
"1079","PK Service Apartment","Metropolitan","2 BHK",9,"1","0",100,6,2,119,5570,14,"2","4",3,1
"1080","Cedar Court Bed Breakfast","Metropolitan","Double Non AC",1,"3","1",100,6,4,205,2362,10,"0","2",15,1
"1081","Hotel Umang","Metropolitan","Single AC",8,"3","0",100,6,2,162,1348,11,"2","1",17,1
"1082","Hotel Vinayak","Metropolitan","Single AC",16,"3","0",100,6,3,126,1592,11,"1","1",17,1
"1083","Colossal Apartment","Metropolitan","Double AC",4,"1","1",100,6,2,2,2834,2,"2","2",14,1
"1084","The Residency Inn","Metropolitan","Single AC",39,"3","1",100,6,3,121,1494,2,"2","1",17,1
"1085","Hotel Deep Palace","Metropolitan","Single AC",12,"3","0",100,6,2,137,5000,12,"2","1",17,1
"1086","Thikana Delhi Guest House","Metropolitan","Single AC",11,"4","0",100,6,4,121,6015,2,"1","1",17,1
"1087","Hotel Centro","Metropolitan","Single Non AC",42,"3","0",100,15,2,62,534,9,"1","1",18,1
"1088","Sanjoy Lodge","Metropolitan","Double AC",1,"5","1",100,6,4,2,1778,12,"0","2",14,1
"1089","Hotel SRG","Metropolitan","Single Non AC",8,"3","0",100,23,2,82,889,13,"2","1",18,1
"1090","Hotel SP International","Metropolitan","Single AC",35,"3","0",100,6,2,177,1666,11,"2","1",17,1
"1091","The Heritage Hotel and Resort","Metropolitan","Double AC",9,"6","0",100,6,2,2,2800,2,"2","2",14,1
"1092","Hotel Sunrise Annexe","Metropolitan","Single Non AC",12,"3","0",67,1,2,2,556,8,"1","0",18,1
"1093","Hotel Inder Regency","Metropolitan","Single Non AC",17,"3","0",100,6,2,118,567,10,"2","1",18,1
"1094","Deepak Guest House","Metropolitan","Single AC",7,"4","0",100,6,4,88,1650,2,"1","1",17,1
"1095","Hotel Simla Palace","Metropolitan","Single AC",12,"3","0",100,6,2,98,1348,11,"2","1",17,1
"1096","Hardik Guest House","Metropolitan","One Day Use",26,"4","0",100,6,2,114,1813,15,"2","1",16,1
"1097","Hotel Madhwan","Metropolitan","Double Non AC",1,"3","0",100,6,2,2,612,10,"2","2",15,1
"1098","Shaloo Homestay","Metropolitan","Double Non AC",34,"2","1",100,6,2,2,1667,2,"2","2",15,1
"1099","Raunak Guest House","Metropolitan","Double Non AC",24,"4","0",100,6,5,2,1249,10,"2","2",15,1
"1100","Hotel New Kumar","Metropolitan","Double AC",9,"3","0",100,6,2,152,667,11,"2","2",14,1
"1101","Harish Chandra Guest House","Metropolitan","Single Non AC",15,"4","0",100,6,2,2,356,4,"1","1",18,1
"1102","Hotel Manglam Palace","Metropolitan","Single Non AC",63,"3","0",100,6,3,126,667,11,"1","1",18,1
"1103","Saubhagyam Residency","Metropolitan","Single Non AC",10,"3","0",100,6,2,112,2568,2,"2","1",18,1
"1104","Hotel Diamond","Metropolitan","Double AC",2,"3","0",100,6,6,88,1453,9,"2","2",14,1
"1105","Nirmal Palace Hotel","Metropolitan","Single AC",0,"3","0",100,6,2,115,1133,11,"2","1",17,1
"1106","The President Hotel","Metropolitan","Single Non AC",0,"3","0",100,6,2,118,1949,14,"2","1",18,1
"1107","Hotel Natraj","Metropolitan","Double Non AC",0,"3","0",100,6,2,95,685,10,"2","2",15,1
"1108","Function Inn","Metropolitan","Single AC",39,"3","0",100,6,5,124,1780,12,"2","1",17,1
"1109","Hotel Sunrise","Metropolitan","One Day Use",35,"3","0",100,6,2,147,528,10,"2","1",16,1
"1110","Hotel Rana International","Metropolitan","Single AC",22,"3","0",100,6,2,122,1334,10,"2","1",17,1
"1111","Coral Hotel","Metropolitan","One Day Use",43,"3","0",100,6,5,142,2068,12,"2","2",16,1
"1112","Garden Gates Inn","Metropolitan","Single AC",36,"3","0",100,6,2,128,1067,14,"2","1",17,1
"1113","Kamakshi Palace","Metropolitan","Double AC",24,"3","0",100,6,4,76,1998,12,"2","2",14,1
"1114","Hotel Amit","Metropolitan","Double Non AC",26,"3","0",100,6,4,99,500,8,"2","2",15,1
"1115","Lucknow Homestay","Metropolitan","Single Non AC",5,"2","1",100,6,3,55,889,2,"2","1",18,1
"1116","De Global Park","Metropolitan","Double AC",30,"3","0",100,6,2,2,2947,11,"2","3",14,1
"1117","Hotel Monarch Inn","Metropolitan","Single AC",14,"3","0",100,6,2,96,1622,11,"2","1",17,1
"1118","Vindhyawasini Guest House","Metropolitan","Double AC",27,"4","0",100,6,2,2,1334,10,"2","2",14,1
"1119","MLA Guest House","Metropolitan","Double Non AC",35,"4","0",100,6,4,103,1200,11,"2","2",15,1
"1120","Hotel Awadh Inn","Metropolitan","Double Non AC",3,"3","0",100,6,3,87,2223,12,"2","2",15,1
"1121","Austha Guest House","Metropolitan","Double Non AC",20,"4","0",100,6,2,2,778,14,"2","2",15,1
"1122","Chandra Guest House","Metropolitan","Double AC",23,"4","0",100,24,2,79,1334,11,"2","2",14,1
"1123","Hotel Ganga Maiya","Metropolitan","Double AC",32,"3","0",100,6,2,138,1666,11,"2","2",14,1
"1124","Europe Plaza Hotel","Metropolitan","Single AC",0,"3","0",100,6,2,2,1302,11,"2","1",17,1
"1125","Samarpan Vindhyawasini Farm House","Metropolitan","Double AC",38,"4","0",100,6,2,2,1657,13,"2","2",14,1
"1126","Mohan Homestay","Metropolitan","Double Non AC",4,"2","1",100,6,2,2,889,2,"2","2",15,1
"1127","Hotel Lloyd Residency","Metropolitan","Single AC",4,"3","0",100,6,8,62,2735,11,"2","1",17,1
"1128","Hotel Metro","Metropolitan","Double Non AC",9,"3","0",0,0,4,2,578,7,"2","2",15,1
"1129","Hotel Ivory 32","Metropolitan","Single Non AC",13,"3","0",100,6,4,127,5412,13,"2","1",18,1
"1130","Svelte Hotel And Personal Suites","Metropolitan","Single AC",24,"3","0",100,6,11,143,8587,10,"2","1",17,1
"1131","Elora Guest House","Metropolitan","Single AC",14,"4","0",100,6,6,99,1334,11,"2","1",17,1
"1132","Intercity Guest House","Metropolitan","Double Non AC",33,"4","0",100,6,2,119,800,14,"2","2",15,1
"1133","Hotel Stay Inn International","Metropolitan","Single AC",14,"3","0",100,6,6,125,1502,9,"2","1",17,1
"1134","Prabhu Niwas Guest House","Metropolitan","Double Non AC",26,"4","0",100,6,4,2,389,6,"2","2",15,1
"1135","Hotel Sky High","Metropolitan","Single AC",5,"3","0",100,6,4,109,1736,10,"2","1",17,1
"1136","Saubhagya Inn","Metropolitan","Single Non AC",15,"3","0",100,6,2,160,2595,14,"2","1",18,1
"1137","Hotel Mohan","Metropolitan","Single Non AC",13,"3","0",100,6,2,125,2267,12,"2","1",18,1
"1138","Hotel Manglam","Metropolitan","Single Non AC",16,"3","0",100,6,2,107,2446,3,"2","1",18,1
"1139","Hotel Anant","Metropolitan","Dormitary",10,"3","0",100,6,2,135,463,10,"2","1",13,1
